name,slug,color1,color2,landing,app,docs,codebase,blog,twitter,discord,telegram,description
Trust,trust,#4274b7,,https://trustwallet.com,,https://trustwallet.com/developer,https://github.com/trustwallet,https://blog.trustwallet.com,https://twitter.com/trustwalletapp,,,Trust is a popular mobile-first non-custodial wallet that supports a variety of cryptocurrencies. It is known for its security features and its ability to connect to decentralized exchanges (DEXs).
Frame,frame,#37ccbd,,https://frame.sh,,https://docs.frame.sh,https://github.com/floating,https://blog.frame.sh,https://twitter.com/0xFrame,,,Frame is a non-custodial wallet that is designed for security and privacy. It is based on the Cosmos SDK and supports a variety of tokens. It is a drop-in MetaMask alternative.
Rabby,rabby,#6277f1,,https://rabby.io,,,https://github.com/RabbyHub,,https://twitter.com/Rabby_io,,,Rabby is a non-custodial wallet designed to improve end-user experience. It supports a variety of cryptocurrencies and has a simple user interface. It is a drop-in MetaMask alternative.
Argent,argent,#ff875b,,https://www.argent.xyz,,https://docs.argent.xyz,https://github.com/argentlabs,https://www.argent.xyz/blog,https://twitter.com/argentHQ,,,"Argent is a mobile-first non-custodial wallet. It supports a variety of cryptocurrencies and has a number of security features, including 2-factor authentication and a recovery phrase."
Ledger,ledger,#000000,,https://www.ledger.com,,https://developers.ledger.com,https://www.ledger.com/academy,https://www.ledger.com/blogs,https://twitter.com/Ledger,,,Ledger is the most popular a hardware wallet that is known for its security. It supports a variety of cryptocurrencies and can be used as cold-wallet to store private keys offline.
Trezor,trezor,#000000,,https://trezor.io,,https://docs.trezor.io/trezor-suite,https://github.com/trezor,https://blog.trezor.io,https://twitter.com/Trezor,,,Trezor is a hardware wallet that is known for its security. It supports a variety of cryptocurrencies and can be used as cold-wallet to store private keys offline.
Keystone,keystone,#3d71ff,,https://keyst.one,,https://support.keyst.one,https://github.com/KeystoneHQ,https://blog.keyst.one,https://twitter.com/KeystoneWallet,,,Keystone is a hardware wallet that is known for its security. It supports a variety of cryptocurrencies and can be used as cold-wallet to store private keys offline.
Zerion,zerion,#2461ed,,https://zerion.io,https://app.zerion.io,https://zerion.io/blog,https://github.com/zeriontech,https://zerion.io/blog,https://twitter.com/zerion_io?,,,"Zerion is a non-custodial wallet that is designed for simplicity and ease of use. It supports a variety of cryptocurrencies and allows users to buy, sell, and trade cryptocurrencies."
DeBank,debank,#fe815f,,https://debank.com,https://debank.com,https://medium.com/debank,https://github.com/DeBankDeFi,https://medium.com/debank,https://twitter.com/DebankDeFi,https://discord.com/invite/KYuj8DE,,
Safe,safe,#13ff7f,,https://safe.global,https://app.safe.global,https://docs.safe.global,https://github.com/safe-global,https://www.gnosis.io/blog,https://twitter.com/safe,,,Safe is a non-custodial wallet that is designed for security and privacy. It is based on the Ethereum blockchain and supports a variety of tokens.
Fireblocks,fireblocks,#172748,,https://fireblocks.io,https://console.fireblocks.io,https://docs.fireblocks.com,https://github.com/fireblocks,https://www.fireblocks.com/blog,https://twitter.com/FireblocksHQ,,,"Fireblocks is the most popular custodian and security platform that is designed for institutional investors. It allows institutions to store, manage, and trade cryptocurrencies."
Copper,copper,#e89077,,https://copper.co,,https://docs.copper.co,https://github.com/copperexchange,https://copper.co/insights,https://twitter.com/CopperHQ,,,"Copper is a custodian and security platform that is designed for institutional investors. It allows institutions to store, manage, and trade cryptocurrencies."
BitGo,bitgo,#5caafd,,https://bitgo.com,,https://developers.bitgo.com,https://github.com/BitGo,https://blog.bitgo.com,https://twitter.com/BitGo,,,"BitGo is a custodian and security platform that is designed for institutional investors. It allows institutions to store, manage, and trade cryptocurrencies."
Ethereum,ethereum,#adadad,,https://ethereum.org/en,,https://ethereum.org/en/developers/docs,https://github.com/ethereum,https://blog.ethereum.org,https://twitter.com/ethereum,https://discord.com/invite/VgBTj6Sh5p,,"Ethereum is the most popular blockchain network, Ethereum is home to a wide variety of decentralized applications (dApps), including decentralized finance (DeFi) protocols, non-fungible tokens (NFTs), and gaming platforms."
Arbitrum,arbitrum,#2d374b,,https://arbitrum.io,,https://developer.offchainlabs.com/docs,https://github.com/OffchainLabs/arbitrum,https://medium.com/offchainlabs,https://twitter.com/arbitrum,https://discord.com/invite/arbitrum,,"Arbitrum One is a Layer 2 scaling solution for Ethereum, Arbitrum One uses optimistic rollups to enable faster and cheaper transactions on the Ethereum network."
Optimism,optimism,#fc0423,,https://www.optimism.io,,https://community.optimism.io,https://github.com/ethereum-optimism,https://www.optimism.io/blog,https://twitter.com/OptimismFND,https://discord.com/invite/e4Xa2vrP,,"Optimism is another Layer 2 scaling solution for Ethereum, Optimism uses optimistic rollups to enable faster and cheaper transactions on the Ethereum network."
Polygon,polygon,#734fd9,,https://polygon.technology,,https://docs.polygon.technology,https://github.com/maticnetwork,https://blog.polygon.technology,https://twitter.com/0xPolygon,https://discord.com/invite/XvpHAxZ,,"Polygon is a Layer 2 scaling solution for Ethereum, Polygon uses a variety of scaling techniques, including sidechains, sharding, and plasma to enable faster and cheaper transactions on the Ethereum network."
Avalanche,avalanche,#dd3e3e,,https://www.avax.network,,https://docs.avax.network,https://github.com/ava-labs,https://medium.com/avalancheavax,https://twitter.com/avalancheavax,https://discord.com/invite/RwXY7P6,,"Avalanche is a Layer 1 blockchain network that is compatible with the Ethereum Virtual Machine (EVM), Avalanche is a popular choice for DeFi and NFT projects."
Fantom,fantom,#13b5ec,,https://fantom.foundation,,https://docs.fantom.foundation,https://github.com/Fantom-Foundation,https://fantom.foundation/blog,https://twitter.com/fantomfdn,https://discord.com/invite/zS4Ek4WByA,,"Fantom Opera is a Layer 1 blockchain network that is known for its fast and cheap transactions, Fantom Opera is a popular choice for DeFi and gaming projects."
BNB Chain,bnb-chain,#fac315,,https://www.bnbchain.org,,https://docs.bnbchain.org,https://github.com/bnb-chain,https://binance.org/en/blog,https://twitter.com/BNBCHAIN,https://discord.com/invite/bnbchain,,"BNB Chain is the native blockchain network of the Binance cryptocurrency exchange, BNB Chain is a popular choice for DeFi and NFT projects."
Moonbeam,moonbeam,#5fc0c1,,https://moonbeam.network,,https://docs.moonbeam.network,https://github.com/PureStake/moonbeam,https://medium.com/moonbeam-network,https://twitter.com/moonbeamnetwork,https://discord.gg/moonbeam,,"Moonbeam is a Layer 1 blockchain network that is compatible with the Ethereum Virtual Machine (EVM), Moonbeam is a popular choice for DeFi and NFT projects."
Moonriver,moonriver,#f2b705,,https://moonbeam.network,,https://docs.moonbeam.network,https://github.com/PureStake/moonbeam,https://medium.com/moonbeam-network,https://twitter.com/MoonriverNW,https://discord.gg/moonbeam,,"Moonriver is a parachain on the Kusama blockchain network, Moonriver is a popular choice for DeFi and NFT projects."
Moonbase Alpha,moonbase-alpha,#f45b5b,,https://moonbeam.network,,https://docs.moonbeam.network,https://github.com/PureStake/moonbeam,https://medium.com/moonbeam-network,https://twitter.com/MoonriverNW,https://discord.gg/moonbeam,,"Moonbase Alpha is a parachain on the Kusama blockchain network, Moonbase Alpha is a popular choice for DeFi and NFT projects."
Gnosis Chain,gnosis-chain,#04795c,,https://gnosischain.com,,https://docs.gnosischain.com,https://github.com/gnosischain,https://www.gnosis.io/blog,https://twitter.com/gnosischain,https://discord.gg/gnosischain,,"Gnosis is a Layer 2 scaling solution for Ethereum, Gnosis uses zk-rollups to enable faster and cheaper transactions on the Ethereum network."
Kava,kava,#ff564f,,https://www.kava.io,,https://www.kava.io/developers#resources,https://github.com/kava-labs,https://medium.com/kava-labs,https://twitter.com/KAVA_CHAIN,https://discord.com/invite/q6QuanE4bx,,"Kava is a Layer 1 blockchain network that is compatible with the Ethereum Virtual Machine (EVM), Kava is a popular choice for DeFi and NFT projects."
Canto,canto,#06fc99,,https://canto.io,,https://docs.canto.io,https://github.com/Canto-Network,https://canto.mirror.xyz,https://twitter.com/cantopublic,https://discord.com/invite/canto,,"Canto is a Layer 1 blockchain network that is designed for privacy, Canto is a popular choice for DeFi and NFT projects."
ZkSync Era,zksync-era,#8b8dfc,,https://zksync.io,,https://era.zksync.io/docs,https://github.com/matter-labs,https://blog.matter-labs.io,https://twitter.com/zksync,https://discord.com/invite/5bXkp58,,"ZkSync Era is a Layer 2 scaling solution for Ethereum, ZkSync Era uses zk-rollups to enable faster and cheaper transactions on the Ethereum network."
Scroll,scroll,#d8c5a8,,https://scroll.io,,https://guide.scroll.io,https://github.com/scroll-tech,https://scroll.io/blog,https://twitter.com/Scroll_ZKP,https://discord.gg/scroll,,"Scroll is a Layer 2 scaling solution for Ethereum, Scroll uses zk-rollups to enable faster and cheaper transactions on the Ethereum network."
Base,base,#1552f0,,https://base.org,,https://docs.base.org,https://github.com/base-org,https://base.mirror.xyz,https://twitter.com/buildonbase,https://base.org/discord,,"Base is a Layer 1 blockchain network that is designed for scalability, Base is a popular choice for DeFi and NFT projects."
Polygon ZkEvm,zkevm,#734fd9,,https://polygon.technology/polygon-zkevm,,https://zkevm.polygon.technology/docs/develop,https://github.com/0xpolygonhermez,https://polygon.technology/blog,https://twitter.com/0xPolygon,https://discord.com/invite/0xPolygon,,"Polygon ZkEvm is a Layer 2 scaling solution for Ethereum, Polygon ZkEvm uses zk-rollups to enable faster and cheaper transactions on the Ethereum network."
Metis,metis,#2ADACC,,https://www.metis.io,,https://docs.metis.io/dev,https://github.com/MetisProtocol,https://metisdao.medium.com,https://twitter.com/MetisDAO,https://discord.com/invite/RqfEJZXnxd,https://t.me/MetisDAO,
Mantle,mantle,#000000,,https://www.mantle.xyz,,https://docs.mantle.xyz,https://github.com/mantlenetworkio,https://www.mantle.xyz/blog,https://twitter.com/0xMantle,https://discord.com/invite/0xMantle,https://t.me/mantlenetwork,
Linea,linea,#000000,,https://linea.build,,https://docs.linea.build,https://github.com/Consensys/linea-besu,https://linea.mirror.xyz,https://twitter.com/LineaBuild,https://discord.com/invite/consensys,,
Celo,celo,#fbcc5c,,https://celo.org,,https://docs.celo.org,https://github.com/celo-org,https://blog.celo.org,https://twitter.com/CeloOrg,https://discord.com/invite/celo,,
Aurora,aurora,#6dd249,,https://aurora.dev,,https://doc.aurora.dev,https://github.com/aurora-is-near,https://medium.com/aurora-platform,https://twitter.com/auroraisnear,https://discord.com/invite/dEFJBz8HQV,https://t.me/auroraisnear,
Neon EVM,neon-evm,#f41afa,,https://neonevm.org,,https://docs.neonfoundation.io/docs,https://github.com/neonevm/neon-evm,https://medium.com/@neon_evm,https://twitter.com/Neon_EVM,https://discord.com/invite/neonevm,,
Rootstock,rootstock,#375bd2,,https://rootstock.io,,https://dev.rootstock.io,https://github.com/rsksmart,https://blog.rootstock.io,https://twitter.com/rootstock_io,https://discord.com/invite/fPerbqcWGE,https://t.me/rskofficialcommunity,
Manta,manta,#00ffe11a,,https://manta.network/,,https://docs.manta.network/docs,https://github.com/manta-network,https://mantanetwork.medium.com,https://twitter.com/mantanetwork,https://discord.com/invite/mantanetwork,https://www.t.me/mantanetworkofficial,
Syscoin,syscoin,#2D5DF8,,https://syscoin.org,,https://docs.syscoin.org,https://github.com,https://syscoin.org/news,https://twitter.com/syscoin,https://discord.com/invite/syscoin,https://t.me/Syscoin_Official,
Rollux,rollux,#DBEF88,,https://rollux.com,,https://sys-labs.github.io/community-hub,https://github.com,,https://twitter.com/RolluxL2,https://discord.com/invite/rollux,https://t.me/RolluxL2,
Chainlink,chainlink,#375BD2,,https://chain.link,,https://docs.chain.link,https://github.com/smartcontractkit,https://blog.chain.link,https://twitter.com/chainlink,https://discord.com/invite/chainlink,https://t.me/chainlinkofficial,
Binance,binance,#f3ba2f,,https://www.binance.com/en,,https://binance-docs.github.io,https://github.com/binance,https://medium.com/@binance,https://twitter.com/binance,https://discord.com/invite/binanceofficial,,
Pyth Network,pyth-network,#e6dbfe,,https://pyth.network,,https://docs.pyth.network/documentation,https://github.com/pyth-network,https://pyth.network/blog,https://twitter.com/PythNetwork,https://discord.com/invite/PythNetwork,https://t.me/Pyth_Network,
De.Fi,de-fi,#1452f0,,https://de.fi,,https://docs.de.fi,https://github.com/de-dot-fi,https://de.fi/blog,https://twitter.com/DeDotFi,,https://t.me/DeDotFi,
DEX Screener,dex-screener,#000000,,https://dexscreener.com,https://dexscreener.com,https://docs.dexscreener.com,https://github.com/dexscreener,,https://twitter.com/dexscreener,https://discord.com/invite/ARbh55A472,https://telegram.me/dexscreenerchat,
DEXTools,dextools,#05a3c9,,https://www.dextools.io,https://www.dextools.io/app,,https://github.com/dextools-io,https://dextools.medium.com,https://twitter.com/DEXToolsApp,https://discord.com/invite/wVanCNraEh,https://t.me/DEXToolsCommunity,
DeFi Safety,defi-safety,#000000,,https://www.defisafety.com,https://www.defisafety.com/app,https://www.defisafety.com/hub,https://github.com/DeFiSafety,https://medium.com/defi-safety,https://twitter.com/DefiSafety,https://discord.com/invite/pzUw5V2E65,https://t.me/joinchat/qU8a07WUG1Q3YTBh,"DeFi Safety is a platform that provides security ratings and reports for blockchains and DeFi protocols. It uses a variety of factors to assess the security of a protocol, such as the code quality, the team's experience, and the protocol's history of hacks."
Exponential DeFi,exponential-defi,#9548e3,,https://exponential.fi,https://exponential.fi/protocols,,,https://exponential.fi/blog,https://twitter.com/ExponentialDeFi,https://discord.com/invite/exponential,,"Exponential DeFi is a platform that provides security ratings and reports for blockchains, tokens, and DeFi protocols. It provides a variety of insightful information, such as code security scoring, operational and market risk analysis and rating."
Solity Network,solity-network,#8f7c5b,,https://www.solity.network,,,,https://www.solity.network/insights,https://twitter.com/SolityNetwork,,https://t.me/solitynetwork,"Solity Network is a platform that provides security analysis for DeFi protocols. It uses a variety of tools, such as static analysis and dynamic analysis, to assess the security of protocols."
CoinGecko,coingecko,#87c23a,,https://www.coingecko.com,,https://www.coingecko.com/en/api/documentation,https://github.com/coingecko,https://blog.coingecko.com,https://twitter.com/DefiLlama,,,"CoinGecko is a platform that provides data and insights on cryptocurrencies and exchanges. It tracks over 13,000 cryptocurrencies and provides a variety of metrics, such as price data and news feeds."
CoinMarketCap,coinmarketcap,#3b65fb,,https://coinmarketcap.com,,https://coinmarketcap.com/api/documentation/v1,https://github.com/topics/coinmarketcap,https://coinmarketcap.com/alexandria/categories/blog,https://twitter.com/CoinMarketCap,,,"CoinMarketCap is a platform that provides data and insights on cryptocurrencies and exchanges. It tracks over 18,000 cryptocurrencies and provides a variety of metrics, such as price data and news feeds."
DefiLlama,defillama,#0062ee,,https://defillama.com,,https://defillama.com/docs/api,https://github.com/DefiLlama,https://medium.com/@Defillama,https://twitter.com/DefiLlama,,,"DefiLlama is a platform that provides data and insights on blockchains and DeFi protocols. It tracks over 3,000 protocols and provides a variety of metrics, such as protocol TVL, yields and revenues tracking."
Messari,messari,#458ac9,,https://messari.io,,https://docs.messari.io/messari,https://github.com/messari,https://engineering.messari.io/blog,https://twitter.com/MessariCrypto,,,"Messari is a platform that provides research and analysis on cryptocurrencies and protocols. It provides users with a variety of reports, such as market overviews, token deep dives, and industry analysis."
Nansen,nansen,#00e3b4,,https://www.nansen.ai,,https://www.nansen.ai/resources,https://github.com/nansen-ai,https://www.nansen.ai/blog,https://twitter.com/nansen_ai,https://discord.com/invite/X5u3a7Wef6,,"Nansen is a platform that provides on-chain data and analytics for cryptocurrencies and protocols. It allows users to track the flow of funds, identify whales, and monitor DeFi activity."
Token Sniffer,token-sniffer,#000000,,https://tokensniffer.com,,https://tokensniffer.readme.io,,,https://twitter.com/Token_Sniffer,,,"Token Sniffer is a platform that provides security analysis for DeFi tokens. It uses a variety of tools, such as static analysis and dynamic analysis, to assess the security of tokens."
Instadapp,instadapp,#3f75ff,,https://instadapp.io,https://defi.instadapp.io,https://guides.instadapp.io,https://github.com/Instadapp,https://blog.instadapp.io,https://twitter.com/instadapp,https://discord.com/invite/C76CeZc,,
DeFi Saver,defi-saver,#37b06f,,https://defisaver.com,https://app.defisaver.com,https://docs.defisaver.com,https://github.com/defisaver/defisaver-v3-contracts,https://blog.defisaver.com,https://twitter.com/defisaver,https://discord.com/invite/XGDJHhZ,,
Uniswap,uniswap,#f7499d,,https://uniswap.org,https://app.uniswap.org,https://docs.uniswap.org,https://github.com/Uniswap,https://uniswap.org/blog,https://twitter.com/Uniswap,https://discord.com/invite/FCfyBSbCU5,,
Compound,compound,#00d395,,https://compound.finance,https://app.compound.finance,https://compound.finance/docs,https://github.com/compound-finance,https://medium.com/compound-finance,https://twitter.com/compoundfinance,https://discord.com/invite/fq6JSPkpJn,,
Balancer,balancer,#1c1c1c,,https://balancer.fi,https://app.balancer.fi,https://docs.balancer.fi,https://github.com/balancer-labs,https://medium.com/balancer-protocol,https://twitter.com/BalancerLabs,https://discord.com/invite/ARJWaeF,,
Venus Protocol,venus,#20bdff,,https://venus.io,https://app.venus.io,https://docs.venus.io,https://github.com/VenusProtocol,https://blog.venus.io,https://twitter.com/VenusProtocol,https://discord.com/invite/pTQ9EBHYtF,,
Velodrome Finance,velodrome-finance,#ee1000,,https://velodrome.finance,https://app.velodrome.finance,https://docs.velodrome.finance,https://github.com/velodrome-finance,https://medium.com/@VelodromeFi,https://twitter.com/VelodromeFi,https://discord.com/invite/velodrome,,
Synthetix,synthetix,#00d1ff,,https://synthetix.io,https://staking.synthetix.io,https://docs.synthetix.io,https://github.com/Synthetixio,https://blog.synthetix.io,https://twitter.com/synthetix_io,https://discord.com/invite/synthetix,,
Frax Finance,frax-finance,#1c1c1c,,https://frax.finance,https://app.frax.finance,https://docs.frax.finance,https://github.com/FraxFinance,https://fraxfinancecommunity.medium.com,https://twitter.com/fraxfinance,https://discord.com/invite/UJVtDTFRaA,,
Angle Protocol,angle-protocol,#fdceaa,,https://angle.money,https://app.angle.money,https://docs.angle.money,https://github.com/AngleProtocol,https://blog.angle.money,https://twitter.com/AngleProtocol,https://discord.gg/5Af6xum9bc,,
Badger DAO,badger-dao,#eda51b,,https://badger.com,https://app.badger.com,https://docs.badger.com,https://github.com/Badger-Finance,https://badgerdao.medium.com,https://twitter.com/badgerdao,https://discord.com/invite/xSPFHHS,,
Aura Finance,aura-finance,#be42e8,,https://aura.finance,https://app.aura.finance,https://docs.aura.finance,https://github.com/aurafinance,https://forum.aura.finance,https://twitter.com/aurafinance,https://discord.com/invite/aurafinance,,
Stake DAO,stake-dao,#adadad,,https://stakedao.org,https://app.stakedao.org,https://stakedao.gitbook.io/stakedaohq,https://github.com/StakeDAO,https://stakedaohq.medium.com,https://twitter.com/StakeDAOHQ,https://discord.com/invite/stakedaohq,,
Beefy Finance,beefy-finance,#adadad,,https://beefy.finance,https://app.beefy.com,https://docs.beefy.com,https://github.com/beefyfinance,https://beefy.com/articles,https://twitter.com/beefyfinance,https://discord.gg/yq8wfHd,,
Yearn Finance,yearn-finance,#3879f0,,https://yearn.finance,https://yearn.finance/vaults,https://docs.yearn.finance,https://github.com/yearn,https://blog.yearn.finance,https://twitter.com/iearnfinance,https://discord.com/invite/b8ENPNqG5c,,
Autofarm,autofarm,#606fde,,https://autofarm.network,https://autofarm.network,https://autofarm.gitbook.io,https://github.com/autofarmnetwork,https://autofarm-network.medium.com,https://twitter.com/autofarmnetwork,https://discord.com/invite/bJ9ZsypQzv,,
Circle,circle,#7dedb7,,https://circle.com,https://circle.com,https://developers.circle.com/stablecoin/docs,https://github.com/circlefin,https://www.circle.com/blog,https://twitter.com/circle,https://discord.com/invite/buildoncircle,,
Circle CCTP,cctp,#7dedb7,,https://circle.com,https://circle.com,https://developers.circle.com/stablecoin/docs,https://github.com/circlefin,https://www.circle.com/blog,https://twitter.com/circle,https://discord.com/invite/buildoncircle,,
AAVE,aave,#5fdce3,,https://aave.com,https://app.aave.com,https://docs.aave.com,https://github.com/aave,https://medium.com/aave,https://twitter.com/AaveAave,https://discord.gg/7kHKnkDEUf,,
Stargate Finance,stargate-finance,#999999,,https://stargate.finance,https://stargate.finance/pool,https://stargateprotocol.gitbook.io/stargate,https://github.com/stargate-protocol,https://medium.com/stargate-official,https://twitter.com/StargateFinance,https://discord.com/invite/QgQqAXF,,
Sushi,sushi,#fa52ae,,https://sushi.com,https://app.sushi.com/en/swap,https://docs.sushi.com,https://github.com/sushiswap,https://sushichef.medium.com,https://twitter.com/SushiSwap,https://discord.com/invite/CGm35kdkAF,,
PancakeSwap,pancakeswap,#9a6aff,,https://pancakeswap.finance,https://pancakeswap.finance,https://docs.pancakeswap.finance,https://github.com/pancakeswap,https://blog.pancakeswap.finance,https://twitter.com/pancakeswap,https://discord.gg/pancakeswap,,
Alpaca Finance,alpaca-finance,#31c77f,,https://www.alpacafinance.org,https://app.alpacafinance.org,https://docs.alpacafinance.org,https://github.com/alpaca-finance,https://medium.com/alpaca-finance,https://twitter.com/AlpacaFinance,https://discord.com/invite/2UvgmqcVDQ,,
Curve,curve,#ffe600,,https://curve.fi,https://curve.fi,https://resources.curve.fi,https://github.com/curvefi,https://blog.curve.fi,https://twitter.com/CurveFinance,https://discord.com/invite/rgrfS7W,,
Convex Finance,convex-finance,#adadad,,https://www.convexfinance.com,https://www.convexfinance.com/stake,https://docs.convexfinance.com,https://github.com/convex-eth,https://convexfinance.medium.com,https://twitter.com/convexfinance,https://discord.com/invite/TTEVTqY488,,
Benqi,benqi,#00b2ec,,https://benqi.fi,https://staking.benqi.fi/stake,https://benqifinance.medium.com,https://github.com/Benqi-fi,https://benqifinance.medium.com,https://twitter.com/BenqiFinance,https://discord.com/invite/jyPAjZjwk6,,
Abracadabra Money,abracadabra-money,#5552FD,,https://abracadabra.money,https://abracadabra.money/borrow,https://docs.abracadabra.money,https://github.com/Abracadabra-money,https://abracadabramoney.medium.com,https://twitter.com/mim_spell,https://discord.com/invite/mim,,
Trader Joe,trader-joe,#db5b54,,https://traderjoexyz.com,https://traderjoexyz.com/trade,https://docs.traderjoexyz.com,https://github.com/traderjoe-xyz,https://traderjoe-xyz.medium.com,https://twitter.com/traderjoe_xyz,https://discord.com/invite/VgBTj6Sh5p,,
Vector Finance,vector-finance,#6a6bec,,https://vectorfinance.io,https://vectorfinance.io/stake,https://docs.vectorfinance.io,https://github.com/vector-finance,https://vectorfinance.medium.com,https://twitter.com/vector_fi,https://discord.com/invite/9YaZTspW,,
Beethoven X,beethoven-x,#00f89c,,https://beets.fi,https://beets.fi/pools,https://docs.beets.fi,https://github.com/beethovenxfi,https://beethovenxio.medium.com,https://mobile.twitter.com/beethoven_x,https://discord.com/invite/jedS4zGk28,,
GMX,gmx,#296BE4,,https://gmx.io,https://app.gmx.io,https://docs.gmx.io,https://github.com/gmx-io,https://medium.com/@gmx.io,https://twitter.com/GMX_IO,https://discord.com/invite/ymN38YefH9,,
Gains Network,gains-network,#45e582,,https://gains.trade,https://gains.trade/trading,https://gains-network.gitbook.io,https://github.com/GainsNetwork,https://gainsnetwork-io.medium.com,https://twitter.com/GainsNetwork_io,https://discord.com/invite/gains-network,,
gTrade,gtrade,#45e582,,https://gains.trade,https://gains.trade/trading,https://gains-network.gitbook.io,https://github.com/GainsNetwork,https://gainsnetwork-io.medium.com,https://twitter.com/GainsNetwork_io,https://discord.com/invite/gains-network,,
Vela Exchange,vela-exchange,#2cd4ff,,https://vela.exchange,https://app.vela.exchange,https://vela-exchange.gitbook.io,https://github.com/VelaExchange,https://medium.com/@vela_exchange,https://twitter.com/vela_exchange,https://discord.com/invite/velaexchange,,
Vertex Protocol,vertex-protocol,#cdadef,,https://vertexprotocol.com,https://app.vertexprotocol.com,https://vertex-protocol.gitbook.io/docs,https://github.com/vertex-protocol,https://blog.vertexprotocol.com,https://twitter.com/vertex_protocol,https://discord.com/invite/vertexprotocol,,
Camelot DEX,camelot-dex,#ffaf1d,,https://camelot.exchange,https://app.camelot.exchange,https://docs.camelot.exchange,https://github.com/beefyfinance,https://camelotdex.medium.com,https://twitter.com/camelotdex,https://discord.com/invite/r9V7rry3nz,,
Mai Finance,mai-finance,#f58188,,https://mai.finance,https://app.mai.finance,https://docs.mai.finance,https://github.com/qi-dao-mai-finance,https://0xlaozi.medium.com,https://twitter.com/QiDaoProtocol,https://discord.gg/mQq55j65xJ,,
Pendle Finance,pendle-finance,#294670,,https://pendle.finance,https://app.pendle.finance,https://docs.pendle.finance,https://github.com/pendle-finance,https://medium.com/pendle,https://twitter.com/pendle_fi,https://pendle.finance/discord,,
Arrakis Finance,arrakis-finance,#ff7f34,,https://arrakis.finance,https://beta.arrakis.finance,https://docs.arrakis.fi,https://github.com/ArrakisFinance,https://mirror.xyz/0x916563f8476b988855af0b8b8A3D56072E1917FA,https://twitter.com/ArrakisFinance,https://discord.gg/arrakisfinance,,
Sturdy Finance,sturdy-finance,#829af2,,https://sturdy.finance,https://app.sturdy.finance,https://docs.sturdy.finance,https://github.com/sturdyfi,https://medium.com/@sturdyfinance,https://twitter.com/SturdyFinance,https://discord.gg/tRVHp6Vx5N,,
Moonwell,moonwell,#2473da,,https://moonwell.fi,https://moonwell.fi/artemis,https://docs.moonwell.fi,https://github.com/moonwell-fi/contracts-open-source,https://moonwell.medium.com,https://twitter.com/MoonwellDeFi,https://discord.com/invite/moonwellfi,,
